33
19850828, 0000,  , TD, 19.8N,  74.0W,  30, 1012, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850828, 0600,  , TD, 20.8N,  76.0W,  30, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850828, 1200,  , TD, 21.8N,  78.0W,  30, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850828, 1800,  , TS, 22.6N,  80.0W,  45, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850829, 0000,  , TS, 23.2N,  81.8W,  50, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850829, 0600,  , TS, 24.0N,  83.5W,  55, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850829, 1200,  , HU, 25.0N,  85.0W,  65,  994, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850829, 1800,  , HU, 25.9N,  85.8W,  70,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850830, 0000,  , HU, 26.6N,  86.6W,  75,  986, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850830, 0600,  , HU, 27.3N,  87.2W,  80,  980, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850830, 1200,  , HU, 27.9N,  87.3W,  90,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850830, 1800,  , HU, 28.3N,  86.8W,  90,  978, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850831, 0000,  , HU, 28.4N,  86.0W,  90,  977, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850831, 0600,  , HU, 28.6N,  85.3W,  90,  976, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850831, 1200,  , HU, 28.8N,  84.4W,  90,  975, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850831, 1800,  , HU, 28.8N,  84.0W,  90,  974, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850901, 0000,  , HU, 28.8N,  83.8W,  95,  971, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850901, 0600,  , HU, 28.6N,  83.9W, 100,  965, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850901, 1200,  , HU, 28.6N,  84.2W, 105,  961, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850901, 1800,  , HU, 28.9N,  84.8W, 110,  954, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850902, 0000,  , HU, 29.4N,  85.9W, 110,  953, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850902, 0600,  , HU, 29.7N,  87.3W, 105,  957, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850902, 1200,  , HU, 30.2N,  88.8W, 100,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850902, 1300, L, HU, 30.4N,  89.2W, 100,  959, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999,   10
19850902, 1800,  , TS, 31.0N,  90.4W,  60,  990, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850903, 0000,  , TS, 31.9N,  91.8W,  45, 1000, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850903, 0600,  , TD, 32.4N,  92.8W,  30, 1004, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850903, 1200,  , TD, 33.2N,  93.7W,  25, 1006, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850903, 1800,  , TD, 34.5N,  94.0W,  25, 1008, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850904, 0000,  , TD, 35.9N,  93.9W,  20, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850904, 0600,  , TD, 37.0N,  93.2W,  20, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850904, 1200,  , TD, 38.0N,  92.5W,  20, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
19850904, 1800,  , TD, 38.8N,  91.4W,  20, 1010, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
-999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999, -999
