20140729,1200,-999,16,9.5N,38.6W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140729,1800,-999,16,9.5N,40.1W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140730,0000,-999,16,9.6N,41.5W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140730,0600,-999,16,9.7N,43.0W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140730,1200,-999,16,9.8N,44.7W,30,1012,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140730,1800,-999,16,10.0N,46.4W,30,1011,0,0,0,0,0,0,0,0,0,0,0,0,-999
20140731,0000,-999,16,10.4N,48.0W,35,1010,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140731,0600,-999,16,10.7N,49.7W,35,1009,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140731,1200,-999,16,11.0N,51.4W,40,1008,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140731,1800,-999,16,11.5N,53.1W,40,1007,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140801,0000,-999,11,12.2N,54.6W,40,1007,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140801,0600,-999,11,13.0N,56.2W,40,1007,40,40,0,40,0,0,0,0,0,0,0,0,-999
20140801,1200,-999,11,13.8N,58.1W,45,1006,70,40,0,40,0,0,0,0,0,0,0,0,-999
20140801,1800,-999,11,14.5N,60.3W,45,1006,100,40,0,40,0,0,0,0,0,0,0,0,-999
20140802,0000,-999,11,15.2N,62.3W,45,1007,100,30,0,40,0,0,0,0,0,0,0,0,-999
20140802,0600,-999,11,15.9N,64.1W,40,1008,100,30,0,40,0,0,0,0,0,0,0,0,-999
20140802,1200,-999,11,16.7N,65.9W,40,1009,100,30,0,40,0,0,0,0,0,0,0,0,-999
20140802,1800,-999,11,17.9N,67.6W,40,1010,120,40,0,40,0,0,0,0,0,0,0,0,-999
20140803,0000,-999,11,19.2N,69.0W,40,1011,140,70,0,40,0,0,0,0,0,0,0,0,-999
